store_nbr,item_nbr,onpromotion,city,type_x,cluster,family,perishable,type_y,locale,transferred,dcoilwtico,month,year,day
54,357961,False,El Carmen,C,3,EGGS,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,268662,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,168927,False,Manta,A,11,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1102970,False,Manta,D,13,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1463591,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1473475,False,Ambato,A,14,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,1958177,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1473428,False,Manta,A,11,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,2048596,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1463808,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,514242,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2048182,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1351305,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,507870,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,371130,False,Ambato,A,14,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,2029467,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1179109,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,900196,False,Guayaquil,A,17,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,119141,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1458461,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,2013931,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2047496,False,Manta,A,11,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1963561,False,Ambato,A,14,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,168989,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,413987,False,El Carmen,C,3,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1239846,False,Manta,A,11,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,376427,False,Manta,D,13,EGGS,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,757888,False,El Carmen,C,3,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1422835,False,Manta,A,11,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,2010049,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,371434,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,1916577,False,Manta,D,13,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,1458849,True,Ambato,A,14,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,903955,False,Manta,D,13,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,841514,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,2057387,True,Ambato,A,14,SCHOOL AND OFFICE SUPPLIES,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1503844,False,Guayaquil,A,17,PRODUCE,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,1239844,False,Ambato,A,14,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,938125,False,Guayaquil,A,17,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,762405,False,Ambato,A,14,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,517909,False,Ambato,A,14,DELI,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,1971328,False,Manta,D,13,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,1239741,False,Ambato,A,14,DAIRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,1349808,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1239881,False,Guayaquil,A,17,POULTRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,1464088,True,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,570922,False,Ambato,A,14,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2081095,False,Manta,A,11,PREPARED FOODS,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,123601,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,159156,False,Manta,D,13,POULTRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
54,1457333,False,El Carmen,C,3,HOME CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,2048300,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,165594,False,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
51,1309560,False,Guayaquil,A,17,BREAD/BAKERY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,1909453,False,Ambato,A,14,HOME AND KITCHEN II,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,724498,True,El Carmen,C,3,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,1457004,False,Manta,A,11,HOME CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
54,513853,False,El Carmen,C,3,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1463812,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
53,598414,False,Manta,D,13,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,318935,False,Manta,A,11,DELI,1,Holiday,Local,False,47.57,8,2017,Tuesday
52,2048358,False,Manta,A,11,PERSONAL CARE,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,692537,False,Manta,A,11,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,996606,False,Manta,A,11,MEATS,1,Holiday,Local,False,47.57,8,2017,Tuesday
53,507354,False,Manta,D,13,DELI,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,514149,False,Guayaquil,A,17,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,679926,False,Manta,A,11,EGGS,1,Holiday,Local,False,47.57,8,2017,Tuesday
51,1948483,False,Guayaquil,A,17,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
52,2008562,False,Manta,A,11,CLEANING,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,1239897,False,Ambato,A,14,POULTRY,1,Holiday,Local,False,47.57,8,2017,Tuesday
50,1037857,False,Ambato,A,14,BEVERAGES,0,Holiday,Local,False,47.57,8,2017,Tuesday
50,841841,False,Ambato,A,14,GROCERY I,0,Holiday,Local,False,47.57,8,2017,Tuesday
