date,store_nbr,item_nbr,unit_sales,onpromotion,city,type_x,cluster,family,perishable,type_y,locale,transferred,dcoilwtico
2017-07-18,20,1047685,30.0,False,Quito,B,6,BEVERAGES,0,,,,46.4
2017-07-30,39,213066,1.0,False,Cuenca,B,6,GROCERY I,0,,,,
2017-08-10,51,752987,1.0,False,Guayaquil,A,17,DAIRY,1,Holiday,National,True,48.54
2017-08-04,12,1968938,1.0,False,Latacunga,C,15,CLEANING,0,,,,49.57
2017-08-02,8,1004551,21.0,True,Quito,D,8,"LIQUOR,WINE,BEER",0,,,,49.6
2017-08-04,47,1239845,5.0,False,Quito,A,14,DAIRY,1,,,,49.57
2017-07-26,44,1037857,50.0,False,Quito,A,5,BEVERAGES,0,,,,48.58
2017-07-26,5,1146784,3.0,False,Santo Domingo,D,4,GROCERY I,0,,,,48.58
2017-08-02,41,414621,5.0,True,Machala,D,4,GROCERY I,0,,,,49.6
2017-07-16,48,860549,5.0,False,Quito,A,14,DAIRY,1,,,,
2017-07-28,23,2059277,1.0,False,Ambato,D,9,HOME CARE,0,,,,49.72
2017-08-15,38,1226920,2.0,False,Loja,D,4,GROCERY I,0,Holiday,Local,False,47.57
2017-08-15,32,1464238,15.0,False,Guayaquil,C,3,BEVERAGES,0,Holiday,Local,False,47.57
2017-07-29,4,1152350,6.0,False,Quito,D,9,FROZEN FOODS,0,,,,
2017-07-16,26,953562,1.0,False,Guayaquil,D,10,GROCERY I,0,,,,
2017-08-09,31,452078,1.0,False,Babahoyo,B,10,CLEANING,0,,,,49.59
2017-07-19,29,2028307,10.0,True,Guayaquil,E,10,DAIRY,1,,,,47.1
2017-07-16,51,1177984,5.0,False,Guayaquil,A,17,GROCERY I,0,,,,
2017-08-12,30,2061033,4.0,True,Guayaquil,C,3,BEVERAGES,0,,,,
2017-07-25,21,1239905,1.0,True,Santo Domingo,B,6,DAIRY,1,Additional,Local,False,47.77
2017-07-24,46,759890,3.0,False,Quito,A,14,CLEANING,0,Additional,Local,False,46.21
2017-08-06,31,1239815,18.0,False,Babahoyo,B,10,DAIRY,1,,,,
