id,date,store_nbr,item_nbr,unit_sales,onpromotion
122500519,2017-07-18,20,1047685,30.0,False
123780917,2017-07-30,39,213066,1.0,False
124968694,2017-08-10,51,752987,1.0,False
124270244,2017-08-04,12,1968938,1.0,False
124052585,2017-08-02,8,1004551,21.0,True
124332098,2017-08-04,47,1239845,5.0,False
123371535,2017-07-26,44,1037857,50.0,False
123305971,2017-07-26,5,1146784,3.0,False
124109932,2017-08-02,41,414621,5.0,True
122344508,2017-07-16,48,860549,5.0,False
123535842,2017-07-28,23,2059277,1.0,False
125460805,2017-08-15,38,1226920,2.0,False
125451207,2017-08-15,32,1464238,15.0,False
123605045,2017-07-29,4,1152350,6.0,False
122297995,2017-07-16,26,953562,1.0,False
124829370,2017-08-09,31,452078,1.0,False
122618523,2017-07-19,29,2028307,10.0,True
122353011,2017-07-16,51,1177984,5.0,False
125135521,2017-08-12,30,2061033,4.0,True
123232947,2017-07-25,21,1239905,1.0,True
123174704,2017-07-24,46,759890,3.0,False
124519604,2017-08-06,31,1239815,18.0,False
123589192,2017-07-28,51,457556,2.0,False
124983505,2017-08-11,4,1696044,8.2,False
122385708,2017-07-17,13,223434,4.0,False
123788136,2017-07-30,42,1246785,4.0,False
124940431,2017-08-10,38,1464005,3.0,False
123998732,2017-08-01,39,584126,25.679,False
123596422,2017-07-28,54,1457005,1.0,False
125132318,2017-08-12,28,2048381,4.0,False
122465695,2017-07-18,1,872306,2.0,False
125237907,2017-08-13,29,320681,4.0,False
125161976,2017-08-12,45,873687,2.0,False
123584671,2017-07-28,49,1047696,4.0,False
124674099,2017-08-07,54,1079215,2.0,False
123175323,2017-07-24,46,1229636,2.0,False
124325476,2017-08-04,45,321798,2.0,False
123669809,2017-07-29,39,265672,2.0,False
124782589,2017-08-09,3,2011225,1.0,False
123243904,2017-07-25,28,268664,1.0,False
122773530,2017-07-21,3,1354383,6.0,False
124835803,2017-08-09,36,173111,1.0,False
122264272,2017-07-16,8,119191,14.0,False
123425640,2017-07-27,17,1176560,1.0,False
122859957,2017-07-21,50,617548,3.0,False
122752659,2017-07-20,47,2047496,8.0,False
124350327,2017-08-05,1,1239862,1.241,False
122581055,2017-07-19,7,1457251,1.0,False
125468910,2017-08-15,42,1693656,32.0,False
123624674,2017-07-29,14,564533,41.0,False
125096103,2017-08-12,8,884878,4.0,False
124972610,2017-08-10,53,129297,1.0,False
